,Game,Game,Kick,Kick,Kick,Punt,Punt,Punt
Antonio Callaway,20,13,8,143,0,5,61,0
Jaydon Mickens,17,0,8,169,0,39,346,1
Phillip Lindsay,31,24,7,163,0,3,23,0
Golden Tate,148,111,7,93,0,107,1084,0
Maurice Harris,28,7,6,118,0,3,11,0
Nyheim Hines,32,6,6,123,0,9,281,2
Adam Humphries,72,20,6,64,0,63,503,0
Nelson Agholor,71,62,5,92,0,3,7,0
Greg Dortch,2,0,5,119,0,4,28,0
Justin Hardy,73,6,5,59,0,20,147,0
DeSean Jackson,156,149,5,37,0,139,1313,4
D'Ernest Johnson,16,0,5,129,0,2,9,0
D.J. Moore,31,25,5,119,0,11,73,0
Chester Rogers,53,22,5,42,0,60,551,0
Braxton Berrios,16,0,4,48,0,21,240,0
Joe Haden,132,123,4,96,0,2,18,0
Elijah McGuire,24,5,4,83,0,1,10,0
Patrick Peterson,138,138,4,75,0,195,1816,4
Da'Mari Scott,8,2,4,110,0,6,32,0
River Cracraft,9,0,3,43,0,12,40,0
Johnny Holton,48,4,3,55,0,1,0,0
Duke Johnson,80,12,3,71,0,20,129,0
Christian McCaffrey,48,42,3,58,0,22,162,0
Buster Skrine,139,89,3,72,0,1,0,0
Willie Snead,73,41,3,50,0,1,0,0
Adam Thielen,90,56,3,52,0,6,8,0
Dede Westbrook,38,25,3,37,0,43,417,1
Cedrick Wilson,6,0,3,64,0,2,13,0
Cole Beasley,118,32,2,19,0,38,220,0
Odell Beckham,75,71,2,46,0,42,291,0
Bryce Callahan,45,29,2,17,0,3,96,1
Will Fuller,42,41,2,31,0,20,300,1
Chris Herndon,17,12,2,21,0,1,0,0
Reshad Jones,128,113,2,43,0,1,0,0
Tyrann Mathieu,98,89,2,8,0,1,6,0
JJ Nelson,58,16,2,53,0,4,13,0
Brandon Powell,6,1,2,43,0,2,8,0
Dominique Rodgers-Cromartie,162,122,2,52,0,2,-2,0
Torrey Smith,119,106,2,37,0,1,9,0
Trent Taylor,29,1,2,23,0,40,359,0
Nsimba Webster,5,0,2,57,0,7,18,0
Robert Woods,100,90,2,9,0,1,11,0
Brandon Zylstra,24,0,2,41,0,5,26,0
Keenan Allen,86,82,1,25,0,30,229,0
Chad Beebe,6,0,1,13,0,7,46,0
John Brown,87,57,1,51,0,17,119,0
Brandin Cooks,88,77,1,12,0,13,49,0
Jamison Crowder,72,40,1,13,0,86,677,1
Stefon Diggs,70,63,1,22,0,6,45,0
Phillip Dorsett,71,15,1,12,0,2,1,0
Chris Hogan,95,35,1,21,0,4,20,0
David Moore,31,8,1,18,0,10,75,0
Jordan Poyer,95,57,1,14,0,17,144,0
Jaylen Samuels,28,7,1,0,0,1,0,0
Mohamed Sanu,118,92,1,2,0,10,56,0
